comment,non-information
     * @throws CdtVariableException if macro holds StringList-type value,no
     * @throws CdtVariableException if macro holds single String-type value,no
@throws IOException if {@code swallowIOException} is false and {@link Flushable#flush} throws    *     an {@code IOException}.,no
@throws IndexOutOfBoundsException      *             if <code>beforeIndex</code> is out of range,no
   * @throws IOException,no
   * @throws IOException,no
   * @throws IOException,no
 @throws InvalidExpressionException      *             if the given expression can't be reduced to a single constant,no
@exception SWTException <ul>      *    <li>ERROR_WIDGET_DISPOSED - if the field editor has been disposed</li>      *    <li>ERROR_THREAD_INVALID_ACCESS - if not called from the thread that created the field editor</li>,no
@exception SWTException <ul>      *    <li>ERROR_WIDGET_DISPOSED - if the field editor has been disposed</li>      *    <li>ERROR_THREAD_INVALID_ACCESS - if not called from the thread that created the field editor</li>,no
   * @throws Exception,no
   * @throws YarnException,no
   * @throws IOException,no
   * @throws IOException,no
   * @throws YarnException,no
   * @throws Exception,no
"      * @throws CoreException if the Project doesn't exist, or the storage couldn't be found",no
"     * @throws CoreException if the Project doesn't exist, or the storage couldn't be found",no
     * @throws CoreException,no
     * @throws CoreException,no
     * @throws CoreException,no
     * @throws CoreException,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
 //$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
 //$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
 //$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
 //$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
 //$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
 //$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
 //$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
 //$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
//$NON-NLS-1$,no
